name,platform,global_sales,critic_score,critic_count,user_score,user_count
Mobile Suit Gundam Battlefield Record U.C.0081,PS3,0.24,,,,
Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,PSP,0.12,,,,
Mobile Suit Gundam: Crossfire,PS3,0.19,33,31,4.7,41
Mobile Suit Gundam: Extreme Vs,PS3,0.27,,,,
Mobile Suit Gundam: Gundam vs. Gundam,PSP,0.42,,,,
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,0.41,,,,
Mobile Suit Gundam: Mokuba no Kiseki,PSP,0.04,,,,
Mobile Suit Gundam: MS Sensen 0079,Wii,0.11,,,,
Model * Oshare Audition: Dream Girl,3DS,0.05,,,,
ModNation Racers,PS3,1.04,82,85,8.4,176
ModNation Racers,PSP,0.47,73,22,7.7,20
Modnation Racers: Road Trip,PSV,0.22,62,51,6.5,55
Moe Moe 2-Ji Daisenryaku 2,PSP,0.01,,,,
Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PSP,0.02,,,,
Moeru Mahjong: Moejong!,PSP,0.01,,,,
Momotarou Dentetsu 16,Wii,0.1,,,,
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,0.07,,,,
Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,0.09,,,,
MonHun Nikki: Poka Poka Ailu Mura,PSP,0.6,,,,
MonHun Nikki: Poka Poka Ailu Mura G,PSP,0.31,,,,
Monkey Island: Special Edition Collection,PS3,0.08,,,,
Monkey Island: Special Edition Collection,X360,0.05,,,,
Monkey Mischief! Party Time,Wii,0.09,,,,
Monopoly,Wii,1.85,70,11,7.7,13
Monopoly,X360,0.57,56,9,5.8,13
Monopoly,PS3,0.29,54,4,6.7,13
Monopoly Collection,Wii,0.08,,,,
Monopoly Streets,Wii,0.68,65,9,,
Monopoly Streets,PS3,0.33,64,11,6.1,9
Monopoly Streets,X360,0.25,66,18,6.6,13
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,0.41,,,,
Monster 4x4: Stunt Racer,Wii,0.16,,,5.2,9
Monster 4X4: World Circuit,Wii,0.87,51,11,7.8,17
Monster High: Ghoul Spirit,Wii,0.48,,,,
Monster Hunter 4,3DS,3.28,,,,
Monster Hunter Freedom,PSP,1.32,71,34,8.9,69
Monster Hunter Freedom 2,PSP,2.54,72,38,8.8,68
Monster Hunter Freedom 3,PSP,4.87,,,,
Monster Hunter Freedom Unite,PSP,5.41,81,48,8.8,93
Monster Hunter Frontier Online,X360,0.13,,,,
Monster Hunter Frontier Online,PS3,0.03,,,,
Monster Hunter Frontier Online: Forward 1,X360,0.03,,,,
Monster Hunter Frontier Online: Forward 2,X360,0.03,,,,
Monster Hunter Frontier Online: Season 10,X360,0.03,,,,
Monster Hunter Frontier Online: Season 9.0,X360,0.04,,,,
Monster Hunter G,Wii,0.25,,,,
Monster Hunter Portable 3rd HD Ver.,PS3,0.5,,,,
Monster Hunter Tri,3DS,2.5,,,,
Monster Hunter Tri,Wii,2.15,84,70,8.8,181
Monster Hunter Tri,WiiU,0.47,,,,
Monster Jam,X360,0.19,43,9,5.5,4
Monster Jam,Wii,0.16,,,7.8,8
Monster Jam: Path of Destruction,Wii,0.5,,,,
Monster Jam: Path of Destruction,PS3,0.21,,,6.3,4
Monster Jam: Path of Destruction,X360,0.1,,,,
Monster Jam: Path of Destruction,PSP,0.06,,,,
Monster Jam: Urban Assault,Wii,0.39,,,7.8,5
Monster Jam: Urban Assault,PSP,0.08,,,,
Monster Kingdom: Jewel Summoner,PSP,0.04,66,25,8.3,4
Monster Lab,Wii,0.3,73,11,8.4,11
Monster Madness: Battle for Suburbia,X360,0.1,55,29,4.8,16
Monster Madness: Grave Danger,PS3,0.05,55,25,,
Monster Mayhem: Build and Battle,Wii,0.03,,,,
Monster Radar,PSV,0.01,,,,
Monster Trucks Mayhem,Wii,0.39,,,,
Monster Trux Arenas: Special Edition,Wii,0.04,,,,
Monster Trux Offroad,Wii,0.02,,,,
Monsters vs. Aliens,PS3,0.27,66,18,,
Monsters vs. Aliens,Wii,0.24,69,12,,
Monsters vs. Aliens,X360,0.14,63,31,6.6,7
MorphX,X360,0.04,33,4,6.4,9
Mortal Kombat,PS3,2.41,84,60,8.2,364
Mortal Kombat,X360,1.8,86,66,8.3,338
Mortal Kombat,PSV,0.43,85,51,7.6,145
Mortal Kombat vs DC Universe,PS3,1.77,76,44,7,78
Mortal Kombat vs DC Universe,X360,1.67,72,61,7.3,63
Mortal Kombat: Armageddon,Wii,0.2,71,29,8.5,21
Mortal Kombat: Unchained,PSP,0.71,70,19,8.8,23
Mortimer Beckett and the Secrets of Spooky Manor,Wii,0.04,56,4,,
Moshi Monsters: Katsuma Unleashed,3DS,0.01,,,,
Moshi Monsters: Moshlings Theme Park,3DS,0.21,,,,
Mother Goose no Himitsu no Yakata,PSP,0.03,,,,
Motion Explosion!,X360,0.05,,,,
MotionSports,X360,0.64,40,30,4.3,7
MotionSports: Adrenaline,X360,0.22,41,8,7,6
MotionSports: Adrenaline,PS3,0.1,,,,
MotoGP,Wii,0.18,44,10,5.4,10
MotoGP,PSP,0.03,69,18,8.2,5
MotoGP '06,X360,0.13,80,50,8.2,10
MotoGP '07,X360,0.25,78,20,7,10
MotoGP 08,PS3,0.37,65,21,5.1,7
MotoGP 08,X360,0.34,68,20,5.6,12
MotoGP 09/10,PS3,0.2,70,42,5.4,28
MotoGP 09/10,X360,0.16,69,41,5.7,41
MotoGP 10/11,PS3,0.15,68,32,5.9,21
MotoGP 10/11,X360,0.05,72,31,6.7,27
MotorStorm,PS3,3.8,84,9,7.3,173
MotorStorm Complete,PS3,0.01,,,,
MotorStorm RC,PSV,0.01,78,39,6.9,100
MotorStorm: Apocalypse,PS3,0.41,77,74,7.5,110
MotorStorm: Arctic Edge,PSP,0.99,79,58,8.8,26
MotorStorm: Pacific Rift,PS3,1.28,82,63,8,273
Motto NUGA-CEL!,PSP,0.02,,,,
Moujuutsukai to Oujisama Portable,PSP,0.02,,,,
Moujuutsukai to Oujisama: Snow Bride Portable,PSP,0.02,,,,
Mountain Sports,Wii,0.11,,,,
Move Fitness,PS3,0.19,61,12,,
Mr Bean's Wacky World of Wii,Wii,0.05,,,,
MTX Mototrax,PSP,0.05,67,8,,
Muchi Muchi Pork & Pink Sweets,X360,0.02,,,,
Mugen Souls,PS3,0.14,55,24,8,27
Muramasa: The Demon Blade,Wii,0.57,81,58,8.7,79
Muramasa: The Demon Blade,PSV,0.15,,,,
Mushi Bugyou,3DS,0.01,,,,
Mushihimesama,X360,0.02,,,,
Mushihimesama Futari Ver 1.5,X360,0.03,,,,
Mushroom Men: The Spore Wars,Wii,0.17,72,37,8.9,29
Musou Orochi Z,PS3,0.23,,,,
Musou Tourou,PSP,0.01,,,,
Muv-Luv,PS3,0.01,,,,
Muv-Luv Alternative,PS3,0.01,,,,
Muv-Luv Alternative: Total Eclipse,PS3,0.03,,,,
Muv-Luv Alternative: Total Eclipse,X360,0.01,,,,
MVP Baseball,PSP,0.21,67,21,8.1,14
MX vs. ATV Reflex,PS3,0.83,74,44,7.4,10
MX vs. ATV Reflex,X360,0.63,75,47,6.5,24
MX vs. ATV Reflex,PSP,0.21,,,,
MX vs. ATV Unleashed: On the Edge,PSP,0.69,68,22,8.8,5
MX vs. ATV Untamed,PSP,0.63,59,12,,
MX vs. ATV Untamed,X360,0.6,70,43,6.9,16
MX vs. ATV Untamed,PS3,0.4,67,33,6.1,8
MX vs. ATV Untamed,Wii,0.31,70,7,8.6,7
MX vs. ATV: Alive,X360,0.5,63,43,7.8,16
MX vs. ATV: Alive,PS3,0.39,61,41,6.6,10
My Animal Centre,Wii,0.02,,,,
My Baby: First Steps,Wii,0.12,,,,
My Ballet Studio,Wii,0.03,,,,
My Body Coach,Wii,0.02,,,,
My First Songs,Wii,0.07,,,,
My Fitness Coach,Wii,2.3,,,8.6,16
My Fitness Coach 2: Exercise and Nutrition,Wii,0.15,,,,
My Fitness Coach: Club,PS3,0.08,,,,
My Fitness Coach: Club,Wii,0.04,,,,
My Horse & Me,Wii,0.3,,,,
My Horse & Me: Riding for Gold,Wii,0.05,,,,
My Little Sister Can't Be This Cute Portable,PSP,0.11,,,,
My Spanish Coach,PSP,0.11,,,,
My Word Coach,Wii,0.49,68,8,,
MySims,Wii,1.61,68,38,7.1,52
MySims Agents,Wii,1,78,28,8.6,27
MySims Collection,Wii,0.14,,,,
MySims Kingdom,Wii,1.49,76,19,8.5,20
MySims Party,Wii,0.2,56,16,,
MySims Racing,Wii,0.47,68,22,,
MySims SkyHeroes,Wii,0.27,67,9,5.2,5
MySims SkyHeroes,X360,0.08,56,15,5.5,4
MySims SkyHeroes,PS3,0.08,62,16,,
Myst,PSP,0.01,69,4,,
Mystery Case Files: The Malgrave Incident,Wii,0.23,65,26,8.2,5
MyStylist,PSP,0.01,,,,
Myth Makers: Orbs of Doom,Wii,0.05,,,0.5,6
Myth Makers: Super Kart GP,Wii,0.02,,,,
Myth Makers: Trixie in Toyland,Wii,0.04,,,,
Mytran Wars,PSP,0.09,68,16,,
N+,PSP,0.03,79,21,8.4,14
N3 II: Ninety-Nine Nights,X360,0.16,,,,
N3: Ninety-Nine Nights,X360,0.28,,,,
nail'd,PS3,0.08,66,36,6.5,10
nail'd,X360,0.08,64,49,7.8,12
Namco Museum Battle Collection,PSP,1.06,73,28,7.4,8
Namco Museum Battle Collection (JP sales),PSP,0.02,,,,
Namco Museum Megamix,Wii,0.14,53,12,,
Namco Museum Remix,Wii,0.73,49,18,,
Namco Museum: Virtual Arcade,X360,0.29,63,16,,
Nanatama: Chronicle of Dungeon Maker,PSP,0.01,,,,
Nancy Drew: The White Wolf of Icicle Creek,Wii,0.14,67,9,,
Nano Assault,3DS,0.06,75,8,8.1,13
Nano Diver,PSP,0.02,,,,
Napoleon Dynamite: The Game,PSP,0.04,37,14,4.6,7
Narcissus: Moshimo Ashita ga Runara,PSP,0.02,,,,
Narisokonai Eiyuutan: Taiyou to Tsuki no Monogatari,PSP,0.01,,,,
Naruto Shippuden 3D: The New Era,3DS,0.09,,,,
Naruto Shippuden: Clash of Ninja Revolution III,Wii,0.49,74,23,8,15
Naruto Shippuden: Dragon Blade Chronicles,Wii,0.17,38,14,2.6,5
Naruto Shippuden: Gekitou Ninja Taisen Special,Wii,0.06,,,,
Naruto Shippuden: Kizuna Drive,PSP,0.11,57,22,4,5
Naruto Shippuden: Legends: Akatsuki Rising,PSP,0.15,60,15,6.4,8
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,0.36,61,22,6.5,13
Naruto Shippuden: Ultimate Ninja Impact,PSP,0.32,59,16,6.6,17
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,1.15,76,34,8.2,86
Naruto Shippuden: Ultimate Ninja Storm 2,X360,0.74,74,31,8.8,25
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,0.69,77,32,7.8,138
Naruto Shippuden: Ultimate Ninja Storm 3,X360,0.37,70,16,7.7,48
Naruto Shippuden: Ultimate Ninja STORM Generations,PS3,0.67,74,23,7.2,62
Naruto Shippuden: Ultimate Ninja STORM Generations,X360,0.41,74,35,7.4,37
Naruto Shippuuden: Gekitou Ninja Taisen! EX,Wii,0.1,,,,
Naruto Shippuuden: Gekitou Ninja Taisen! EX 2,Wii,0.09,,,,
Naruto Shippuuden: Gekitou Ninja Taisen! EX 3,Wii,0.07,,,,
Naruto: Clash of Ninja Revolution,Wii,1.01,74,23,8.1,20
Naruto: Clash of Ninja Revolution 2,Wii,0.38,72,20,8.4,10
Naruto: Powerful Shippuden,3DS,0.11,71,13,5.2,18
Naruto: Rise of a Ninja,X360,0.31,78,35,8.8,69
Naruto: The Broken Bond,X360,0.56,80,34,7.7,36
Naruto: Ultimate Ninja Heroes (JP sales),PSP,0.06,,,,
Naruto: Ultimate Ninja Heroes (US sales),PSP,0.26,,,,
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,0.15,64,20,7.8,13
Naruto: Ultimate Ninja Storm,PS3,1.02,75,32,8.6,64
NASCAR,PSP,0.09,66,13,6.4,5
NASCAR 08,X360,0.26,59,29,5.2,29
NASCAR 08,PS3,0.22,57,21,4.7,11
NASCAR 09,X360,0.25,69,32,7.8,15
NASCAR 09,PS3,0.24,65,22,7.4,8
NASCAR 2011: The Game,X360,0.28,62,24,4.1,14
NASCAR 2011: The Game,PS3,0.25,62,16,3.3,12
NASCAR 2011: The Game,Wii,0.21,42,5,4.5,6
NASCAR Kart Racing,Wii,0.42,70,12,7.7,7
NASCAR The Game: Inside Line,X360,0.07,72,7,3.7,22
NASCAR The Game: Inside Line,PS3,0.05,76,4,4.8,11
Nascar Unleashed,3DS,0.17,,,,
Nascar Unleashed,Wii,0.15,,,,
Nascar Unleashed,X360,0.1,,,,
Nascar Unleashed,PS3,0.08,,,,
NatGeo Challenge! Wild Life,PS3,0.08,,,,
NatGeo Challenge! Wild Life,Wii,0.03,,,,
NatGeo Challenge! Wild Life,X360,0.02,,,,
National Geographic Challenge!,Wii,0.09,,,,
National Geographic Challenge!,X360,0.05,,,,
National Geographic Challenge!,PS3,0.02,,,,
Natsuzora no Monologue,PSP,0.01,,,,
Naughty Bear,PS3,0.39,43,31,5.5,41
Naughty Bear,X360,0.37,43,51,5.5,65
Naval Assault: The Killing Tide,X360,0.16,40,11,,
Nayuta no Kiseki,PSP,0.13,,,,
Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,0.05,,,,
NBA,PSP,0.21,57,25,6.9,13
NBA 06,PSP,0.22,72,19,5.1,7
NBA 07,PS3,0.26,63,24,6.3,10
NBA 07,PSP,0.2,68,24,,
NBA 08,PS3,0.13,63,37,6,4
NBA 08,PSP,0.03,75,18,7.4,7
NBA 09: The Inside,PSP,0.17,79,9,7,5
NBA 09: The Inside,PS3,0.13,63,17,5.3,6
NBA 10 The Inside,PSP,0.08,69,13,2,11
NBA 2K10,X360,0.91,82,46,7.6,33
NBA 2K10,PS3,0.82,83,30,7.9,37
NBA 2K10,Wii,0.37,,,8.6,11
NBA 2K10,PSP,0.31,,,9.1,11
NBA 2K11,X360,2.02,89,50,8,88
NBA 2K11,PS3,1.72,89,46,7.4,85
NBA 2K11,Wii,0.47,,,,
NBA 2K11,PSP,0.39,,,6.3,4
NBA 2K12,X360,2.52,90,42,7.7,117
NBA 2K12,PS3,2.02,90,38,6.6,108
NBA 2K12,Wii,0.32,,,6.8,6
NBA 2K12,PSP,0.26,,,4.7,6
NBA 2K13,X360,2.82,88,41,7.3,111
NBA 2K13,PS3,2.22,90,26,7.9,78
NBA 2K13,Wii,0.34,,,8.5,8
NBA 2K13,WiiU,0.04,85,17,7,28
NBA 2K14,X360,1.81,87,23,5,104
NBA 2K14,PS3,1.41,84,26,4.7,104
NBA 2K14,PS4,0.69,85,20,6.4,217
NBA 2K14,XOne,0.46,86,15,5.4,113
NBA 2K6,X360,0.23,81,33,8.6,30
NBA 2K7,X360,0.57,84,46,7.8,65
NBA 2K7,PS3,0.36,80,20,7.1,7
NBA 2K8,X360,0.84,81,33,6.9,26
NBA 2K8,PS3,0.52,81,18,6.8,19
NBA 2K9,X360,1.26,84,32,7.4,41
NBA 2K9,PS3,0.61,82,30,6.9,35
NBA Ballers: Chosen One,X360,0.18,55,42,4.2,15
NBA Ballers: Chosen One,PS3,0.11,54,23,6.5,4
NBA Ballers: Rebound,PSP,0.1,69,17,7.5,6
NBA Jam,Wii,0.37,79,43,8.3,16
NBA Jam,X360,0.33,75,30,6.6,19
NBA Jam,PS3,0.32,71,33,5.7,14
NBA Live 06,PSP,0.42,80,18,8.2,11
NBA Live 06,X360,0.29,64,35,5.4,14
NBA Live 07,PSP,0.51,64,9,7.5,4
NBA Live 07,X360,0.43,59,32,4.8,57
NBA Live 08,PS3,0.62,73,28,6.8,10
NBA Live 08,X360,0.5,73,38,5.4,18
NBA Live 08,PSP,0.3,73,11,6,4
NBA Live 08,Wii,0.15,52,11,7.1,21
NBA Live 09,X360,0.69,77,32,7.3,12
NBA Live 09,PS3,0.51,75,32,7.8,15
NBA Live 09,PSP,0.36,,,7.3,8
NBA Live 09 All-Play,Wii,0.21,51,11,5.8,13
NBA Live 10,PS3,0.52,81,32,7.5,24
NBA Live 10,X360,0.43,80,40,7.7,32
NBA Live 10,PSP,0.23,64,4,4.2,10
NBA Live 14,XOne,0.08,36,14,3.5,62
NBA Live 14,PS4,0.07,43,24,2.5,145
NBA Street Homecourt,X360,0.48,80,42,8.3,26
NBA Street Homecourt,PS3,0.13,81,31,6.7,14
NBA Street: Showdown,PSP,0.22,75,25,9,13
NCAA Basketball 09,X360,0.2,70,23,5.6,8
NCAA Basketball 09,PS3,0.15,68,17,,
NCAA Basketball 10,PS3,0.31,75,17,6.8,4
NCAA Basketball 10,X360,0.3,75,22,,
NCAA Football 07,X360,0.71,79,43,6.9,19
NCAA Football 07,PSP,0.36,75,16,7.9,11
NCAA Football 08,X360,0.68,81,30,7.7,43
NCAA Football 08,PS3,0.38,77,13,7.9,27
NCAA Football 09,X360,0.69,83,24,7.7,26
NCAA Football 09,PS3,0.57,81,20,7.3,25
NCAA Football 09,PSP,0.22,,,,
NCAA Football 09 All-Play,Wii,0.16,49,5,5.8,32
NCAA Football 10,X360,0.92,83,26,6.7,36
NCAA Football 10,PS3,0.8,80,20,6.9,14
NCAA Football 10,PSP,0.2,,,,
NCAA Football 11,X360,0.89,86,29,7.2,68
NCAA Football 11,PS3,0.81,85,22,7.4,24
NCAA Football 12,X360,0.96,82,25,6.5,47
NCAA Football 12,PS3,0.78,82,17,5.8,38
NCAA Football 13,X360,1.02,76,20,5.4,63
NCAA Football 13,PS3,0.79,79,9,4.1,34
NCAA Football 14,X360,0.96,77,18,5.8,61
NCAA Football 14,PS3,0.68,77,9,5.5,31
NCAA March Madness 07,X360,0.18,67,33,6.9,14
NCAA March Madness 08,X360,0.2,69,22,,
NCAA March Madness 08,PS3,0.08,67,15,3.8,4
NCIS,Wii,0.12,,,,
NCIS,X360,0.11,35,11,3.8,6
NCIS,PS3,0.1,50,4,4,4
NCIS 3D,3DS,0.08,,,,
Need for Speed Carbon,X360,1.6,77,52,6.1,67
Need for Speed Carbon,Wii,1.25,67,21,7.7,23
Need for Speed Carbon,PS3,1.12,75,31,6.8,29
Need for Speed Carbon: Own the City,PSP,2.38,73,14,8.2,34
Need for Speed Rivals,PS4,0.71,80,53,6.6,335
Need for Speed Rivals,PS3,0.68,80,6,4.9,75
Need for Speed Rivals,X360,0.42,76,12,5.5,69
Need for Speed Rivals,XOne,0.29,75,17,6.2,88
Need for Speed Underground Rivals,PSP,1.3,74,36,8.7,33
Need for Speed: Hot Pursuit,PS3,2.6,89,59,7.1,229
Need for Speed: Hot Pursuit,X360,2.08,88,73,7,174
Need for Speed: Hot Pursuit,Wii,0.43,50,8,3.8,17
Need for Speed: Most Wanted,X360,1.13,83,54,8.3,102
Need for Speed: Most Wanted - A Criterion Game,PS3,2.28,,,,
Need for Speed: Most Wanted - A Criterion Game,X360,1.31,,,,
Need for Speed: Most Wanted - A Criterion Game,PSV,0.58,,,,
Need for Speed: Most Wanted - A Criterion Game,WiiU,0.11,,,,
Need for Speed: Most Wanted 5-1-0,PSP,1.97,72,21,7.7,48
Need for Speed: Nitro,Wii,0.77,69,41,7.3,32
Need for Speed: ProStreet,X360,2.02,72,42,7.4,66
Need for Speed: ProStreet,PS3,1.98,73,26,5.5,34
Need for Speed: ProStreet,Wii,1.07,61,16,6.9,14
Need for Speed: ProStreet,PSP,0.76,57,14,6.9,17
Need for Speed: Shift,PS3,2.58,84,55,6.8,93
Need for Speed: Shift,X360,1.86,83,75,6.5,122
Need for Speed: Shift,PSP,0.72,69,11,6.3,26
Need for Speed: Shift 2 Unleashed,PS3,0.58,,,,
Need for Speed: Shift 2 Unleashed,X360,0.41,,,,
Need for Speed: The Run,PS3,1.87,64,48,6.4,148
Need for Speed: The Run,X360,1.27,68,65,6,140
Need for Speed: The Run,Wii,0.24,64,6,2.4,15
Need for Speed: The Run,3DS,0.15,65,9,5.7,23
Need For Speed: Undercover,PS3,1.96,59,40,5.8,60
Need For Speed: Undercover,X360,1.59,64,62,6.2,92
Need For Speed: Undercover,PSP,0.74,52,7,6.8,34
Need For Speed: Undercover,Wii,0.59,54,12,6.3,26
Neighborhood Games,Wii,0.18,49,6,,
Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,3DS,0.02,,,,
Nendoroid Generation,PSP,0.06,,,,
Neo Angelique Special,PSP,0.01,,,,
Neopets Petpet Adventures: The Wand of Wishing,PSP,0.12,66,21,7.6,5
Neopets Puzzle Adventure,Wii,0.19,52,11,,
NERF N-Strike,Wii,1.08,66,13,5.2,6
NERF N-Strike Elite,Wii,1,67,12,5.4,5
NERF N-Strike: Double Blast Bundle,Wii,0.09,,,,
NeverDead,PS3,0.09,50,32,4.9,40
NeverDead,X360,0.07,52,46,5.6,54
Neverland Card Battles,PSP,0.02,57,14,8.5,11
New Carnival Games,Wii,0.56,,,,
New Class of Heroes Mono: Toki no Gakuen,PSP,0.09,,,,
New Love Plus,3DS,0.14,,,,
New Play Control! Donkey Kong Jungle Beat,Wii,0.58,,,,
New Play Control! Mario Power Tennis,Wii,1.43,,,,
New Play Control! Pikmin,Wii,0.6,,,,
New Play Control! Pikmin 2,Wii,0.51,,,,
New Super Luigi U,WiiU,1.29,77,59,7.6,173
New Super Mario Bros. 2,3DS,7.28,78,70,7.1,247
New Super Mario Bros. U,WiiU,3.64,84,70,7.9,356
New Super Mario Bros. Wii,Wii,27.25,87,80,8.3,446
"NewU Fitness First Mind Body, Yoga & Pilates Workout",Wii,0.13,,,,
Next Hatsune Miku: Project Diva,PS3,0.23,,,,
Next Hatsune Miku: Project Diva,PSV,0.23,,,,
NFL Head Coach 09,PS3,0.13,64,12,7.1,12
NFL Head Coach 09,X360,0.1,67,14,8.7,26
NFL Street 2 Unleashed,PSP,0.37,73,23,7.4,12
NFL Street 3,PSP,0.25,68,13,,
NFL Tour,X360,0.1,49,35,2.8,42
NFL Tour,PS3,0.1,45,24,,
NHL 07,X360,0.27,79,49,5.3,165
NHL 07,PSP,0.16,76,7,6.1,20
NHL 08,PS3,0.25,86,23,7.2,22
NHL 08,X360,0.23,85,44,8.4,41
NHL 09,X360,0.49,88,41,8.7,57
NHL 09,PS3,0.32,88,25,7.9,37
NHL 10,X360,0.64,88,52,8.5,65
NHL 10,PS3,0.55,88,35,8,33
NHL 11,X360,0.7,88,49,7.8,64
NHL 11,PS3,0.56,88,38,7.1,46
NHL 12,X360,0.65,86,56,7.1,63
NHL 12,PS3,0.53,86,33,7.6,42
NHL 13,X360,0.59,83,44,6.6,73
NHL 13,PS3,0.52,84,22,6.6,43
NHL 14,X360,0.36,81,30,5.9,61
NHL 14,PS3,0.3,80,22,5.8,50
NHL 2K10,Wii,0.34,79,8,6.8,16
NHL 2K10,X360,0.14,69,31,7.9,15
NHL 2K10,PS3,0.13,66,23,7.1,8
NHL 2K11,Wii,0.25,62,12,5.2,5
NHL 2K6,X360,0.1,75,37,6,22
NHL 2K7,PS3,0.12,79,24,6.6,5
NHL 2K7,X360,0.08,78,51,7.9,165
NHL 2K8,X360,0.12,71,44,7.4,16
NHL 2K8,PS3,0.09,74,24,,
NHL 2K9,X360,0.17,69,33,6.7,7
NHL 2K9,PS3,0.12,70,21,,
NHL 2K9,Wii,0.06,65,11,5.4,19
NHL Slapshot,Wii,0.4,76,25,8.3,4
NHRA Drag Racing: Countdown to the Championship,PSP,0.03,,,,
"Ni Hao, Kai-lan: Super Game Day",Wii,0.18,,,,
Ni no Kuni: Wrath of the White Witch,PS3,1.14,85,89,8.6,735
Nickelodeon Dance,Wii,0.22,,,,
Nickelodeon Dance,X360,0.08,,,,
Nickelodeon Fit,Wii,0.88,,,,
Nicktoons MLB,Wii,0.11,,,,
Nicktoons MLB,X360,0.09,,,,
Nicktoons: Attack of the Toybots,Wii,0.43,60,4,6.6,5
Nicola Kanshuu: Model * Oshare Audition 2,3DS,0.06,,,,
Nicola Kanshuu: Model Oshare * Audition Platina,3DS,0.07,,,,
NieR,PS3,0.53,68,58,8.3,165
NieR,X360,0.26,67,60,8.5,82
Night at the Museum: Battle of the Smithsonian,Wii,0.33,54,8,,
Night at the Museum: Battle of the Smithsonian,X360,0.11,50,15,7.7,6
NiGHTS: Journey of Dreams,Wii,0.39,69,47,8.6,49
Nike+ Kinect Training,X360,0.01,,,,
Nikoli's Pencil Puzzle,3DS,0.05,61,7,,
Ninja Blade,X360,0.3,68,65,6.8,48
Ninja Gaiden 3,PS3,0.36,58,43,4.9,142
Ninja Gaiden 3,X360,0.21,58,39,4.4,127
Ninja Gaiden 3,WiiU,0.05,,,,
Ninja Gaiden II,X360,0.98,81,74,7.9,263
Ninja Gaiden Sigma,PS3,1.1,88,46,7.3,111
Ninja Gaiden Sigma,PSV,0.16,72,47,7.1,49
Ninja Gaiden Sigma 2,PS3,0.8,83,52,7.7,81
Ninja Gaiden Sigma 2,PSV,0.01,,,,
Ninja Reflex,Wii,0.11,49,26,6,11
Ninjabread Man,Wii,0.08,20,6,1.6,37
Nintendo Land,WiiU,2.81,77,61,7.7,280
Nintendogs + cats,3DS,3.3,,,,
Nippon no Asoko de,PSP,0.03,,,,
Nisenochigiri,PSP,0.02,,,,
Nisenochigiri: Omoide no Saki e,PSP,0.03,,,,
Nitrobike,Wii,0.13,49,22,7.1,7
Nizu no Senritsu Portable 2: Hi no Kioku,PSP,0.01,,,,
No Fate! Only the Power of Will,X360,0.01,,,,
No Fate! Only the Power of Will,PSP,0.01,,,,
No More Heroes,Wii,0.54,83,64,8.5,215
No More Heroes 2: Desperate Struggle,Wii,0.37,84,68,8.8,158
No More Heroes: Heroes' Paradise,PS3,0.16,72,38,7.4,30
No More Heroes: Heroes' Paradise,X360,0.02,,,,
No More Heroes: Red Zone,PS3,0.09,,,,
Nobunaga no Yabou Online: Houou no Shou,PS3,0.01,,,,
Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,0.02,,,,
Nobunaga no Yabou: Souzou,PS3,0.11,,,,
Nobunaga no Yabou: Tendou,PS3,0.13,,,,
Nobunaga no Yabou: Tendou with Power-Up Kit,PS3,0.07,,,,
Nobunaga's Ambition (3DS),3DS,0.03,,,,
Nodame Cantabile: Dream * Orchestra,Wii,0.01,,,,
Norn9: Norn + Nonette,PSP,0.03,,,,
North American Hunting Extravaganza,Wii,0.35,,,,
North American Hunting Extravaganza 2,Wii,0.04,,,,
Now! That's What I Call Music: Dance & Sing,Wii,0.2,,,,
NPPL Championship Paintball 2009,PS3,0.14,45,9,6.6,7
NPPL Championship Paintball 2009,Wii,0.12,,,8,6
NPPL Championship Paintball 2009,X360,0.11,44,9,7,8
Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,0.02,,,,
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,0.01,,,,
Obscure: The Aftermath,Wii,0.12,53,19,7.7,11
Obscure: The Aftermath,PSP,0.07,66,25,9,11
Ocean Commander,Wii,0.02,,,,
Octomania,Wii,0.06,66,9,,
Offshore Tycoon,Wii,0.01,,,,
Okami,Wii,0.55,90,44,8.9,190
Okami,PS3,0.14,,,,
Okashi na Shima no Peter Pan: Sweet Never Land,PSP,0.02,,,,
Omerta: City of Gangsters,PS3,0.91,,,,
Omerta: City of Gangsters,X360,0.59,43,18,2.2,18
Once Upon A Time,Wii,0.01,,,,
One Piece Pirate Musou,PS3,1.11,,,,
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,0.26,,,,
One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,0.27,,,,
