name,platform,global_sales,critic_score,critic_count,user_score,user_count
Armored Core: For Answer,PS3,0.17,62,22,8,23
Armored Core: For Answer,X360,0.14,64,22,7.9,32
Armored Core: Formula Front Extreme Battle,PSP,0.05,,,,
Armored Core: Last Raven Portable,PSP,0.03,,,,
Armored Core: Verdict Day,PS3,0.1,66,18,7.4,14
Armored Core: Verdict Day,X360,0.01,65,8,6.7,7
Army Corps of Hell,PSV,0.07,57,43,6.7,24
Army Men: Soldiers of Misfortune,Wii,0.13,,,2.5,6
Army of Two,X360,1.6,72,76,7.6,195
Army of Two,PS3,1.13,74,43,7.3,96
Army of Two: The 40th Day,X360,0.87,73,79,7.3,104
Army of Two: The 40th Day,PS3,0.79,74,56,7.1,58
Army of Two: The 40th Day,PSP,0.31,49,11,6.1,26
Army of Two: The Devil's Cartel,PS3,0.19,58,27,6.1,72
Army of Two: The Devil's Cartel,X360,0.17,54,55,6.1,160
Army Rescue,Wii,0.02,,,,
Art Academy: Lessons for Everyone,3DS,0.38,81,14,7.1,15
"Asaki, Yumemishi",PSP,0.01,,,,
Ashes Cricket 2009,Wii,0.22,,,,
Ashes Cricket 2009,X360,0.19,,,,
Ashes Cricket 2009,PS3,0.16,,,,
Asphalt 3D,3DS,0.4,43,37,3.9,18
Asphalt: Injection,PSV,0.16,49,33,4.2,21
Asphalt: Urban GT 2,PSP,0.01,42,4,7,4
Assassin's Creed,X360,5.39,81,77,7.8,844
Assassin's Creed,PS3,4.66,81,40,7.4,552
Assassin's Creed II,PS3,5.26,91,70,8.5,824
Assassin's Creed II,X360,5.07,90,82,8.8,914
Assassin's Creed III,PS3,5.45,85,41,6.9,1010
Assassin's Creed III,X360,4.81,84,61,6.7,1008
Assassin's Creed III,WiiU,0.23,85,26,7.1,143
Assassin's Creed III: Liberation,PSV,0.91,70,71,7.4,260
Assassin's Creed IV: Black Flag,PS3,2.59,88,36,8.1,548
Assassin's Creed IV: Black Flag,X360,2.3,86,34,7.8,453
Assassin's Creed IV: Black Flag,PS4,1.31,83,28,7.8,480
Assassin's Creed IV: Black Flag,XOne,0.65,,,7.1,154
Assassin's Creed IV: Black Flag,WiiU,0.13,86,5,7.4,107
Assassin's Creed: Bloodlines,PSP,1.14,63,38,7.1,50
Assassin's Creed: Brotherhood,X360,3.27,89,81,8.3,542
Assassin's Creed: Brotherhood,PS3,2.62,90,59,8.1,546
Assassin's Creed: Revelations,PS3,4.03,80,39,7.5,451
Assassin's Creed: Revelations,X360,4.02,80,77,7.1,458
Astonishia Story,PSP,0.03,48,35,4.9,14
Astro Boy: The Video Game,Wii,0.1,48,17,,
Astro Boy: The Video Game,PSP,0.04,60,6,,
Asura's Wrath,PS3,0.32,71,39,7,114
Asura's Wrath,X360,0.18,71,54,6.4,101
Atari Classics Evolved,PSP,0.08,64,17,,
Atelier Ayesha: The Alchemist of the Land of Twilight,PS3,0.21,,,,
Atelier Escha & Logy: Alchemist of Dusk Sky,PS3,0.1,,,,
Atelier Meruru: Alchemist of Arland 3,PS3,0.22,,,,
Atelier Meruru: Alchemist of Arland 3,PSV,0.06,,,,
Atelier Rorona: Alchemist of Arland,PS3,0.35,,,,
Atelier Rorona: Alchemist of Arland,PSV,0.03,,,,
Atelier Totori: The Adventurer of Arland,PS3,0.37,74,19,6.6,94
Atelier Totori: The Adventurer of Arland,PSV,0.09,,,,
Attack of the Movies 3D,Wii,0.09,39,6,,
Attack of the Movies 3D,X360,0.04,38,8,0.8,9
Attack on Titan: The Last Wings of Mankind,3DS,0.23,,,,
Attouteki Yuugi: Mugen Souls Z,PS3,0.04,,,,
